EmployeeID,BenefitID,UsageFrequency,LastUsedDate
3164,9,3,2023-12-20
1528,15,2,2024-03-09
901,29,4,2023-09-17
2934,5,3,2024-02-21
3115,8,1,2024-04-23
406,23,1,2024-03-24
3818,24,0,2023-09-30
3015,12,0,2023-11-02
4334,6,2,2023-10-08
1691,14,1,2024-05-13
642,28,1,2024-07-05
2376,30,3,2024-01-11
4585,27,3,2023-10-12
2748,20,2,2024-05-15
2308,14,4,2024-07-04
2032,10,10,2024-01-31
2145,28,8,2024-03-22
2394,24,0,2024-04-20
2109,26,0,2024-02-03
2502,20,0,2024-05-20
4665,30,4,2023-08-09
2004,25,4,2024-01-06
2118,9,4,2023-08-14
2336,8,4,2024-07-11
2209,29,2,2023-10-10
141,17,5,2023-08-16
4599,6,0,2023-10-28
392,19,1,2024-05-15
3442,5,4,2023-11-08
3908,24,9,2023-12-30
4716,22,7,2024-06-04
4280,19,8,2024-05-31
2209,4,0,2023-12-17
849,1,10,2024-04-30
4678,15,0,2023-10-17
1420,4,8,2024-06-23
356,16,1,2023-12-15
4249,12,0,2023-11-18
3382,12,1,2024-06-11
4798,5,8,2023-12-06
1030,2,0,2023-09-11
352,10,0,2023-12-27
3546,28,1,2024-07-06
526,5,5,2024-01-10
1831,19,0,2024-01-19
225,5,8,2023-12-01
2915,4,0,2024-01-25
941,7,5,2024-06-23
3781,11,8,2024-03-04
2919,17,5,2024-07-09
3209,7,1,2024-08-03
2764,21,5,2023-12-21
3862,1,3,2024-04-11
3525,26,0,2023-09-30
4700,20,0,2023-12-06
564,9,5,2024-02-05
4527,10,0,2024-03-14
2681,13,2,2023-08-24
694,3,0,2024-03-01
4441,18,1,2024-01-27
1677,10,8,2023-09-17
1561,27,2,2024-02-08
1112,2,8,2024-07-07
1597,10,2,2024-05-31
1501,9,2,2023-08-07
883,1,1,2023-11-15
3693,23,4,2024-04-14
4133,24,5,2023-12-22
3247,26,7,2024-05-21
230,2,3,2024-06-25
2571,23,5,2024-01-29
1154,19,8,2024-05-03
3125,25,4,2024-02-29
411,5,8,2024-02-28
735,21,4,2024-01-12
3992,15,8,2023-10-10
528,15,0,2024-06-13
308,10,0,2024-03-19
2610,2,0,2024-05-03
4396,26,6,2024-02-28
3004,2,0,2024-06-01
4581,20,9,2023-09-10
3459,13,1,2024-03-22
3674,25,1,2024-05-23
1307,7,0,2023-11-05
4263,5,4,2023-11-30
1916,1,0,2024-08-01
1102,11,2,2024-02-16
884,7,0,2024-04-26
82,8,0,2023-12-30
1617,9,2,2024-03-24
3613,3,5,2024-03-14
1007,22,8,2023-11-11
3738,12,9,2024-06-07
88,15,7,2024-06-25
1164,25,3,2024-08-04
4997,12,5,2024-04-05
2583,8,8,2024-02-15
465,6,0,2023-10-14
3033,7,0,2023-12-28
1418,30,0,2023-08-16
4766,18,6,2024-08-01
3995,6,0,2024-06-29
1776,9,5,2024-07-19
1080,2,0,2023-11-19
2425,15,0,2023-08-08
4764,26,5,2024-01-05
135,3,2,2024-05-09
1336,6,4,2023-10-04
1085,10,0,2023-11-16
3059,2,2,2024-04-17
3389,30,7,2023-12-11
4477,15,5,2023-08-28
833,27,9,2024-01-31
4057,11,7,2023-11-08
3391,4,4,2024-05-27
4922,30,8,2023-09-29
2161,2,2,2024-05-17
4437,8,3,2024-05-07
3611,5,6,2024-04-16
3844,21,0,2024-05-15
4144,28,9,2024-01-15
1474,5,1,2023-08-28
329,26,10,2024-06-20
2812,13,2,2024-05-03
4373,10,5,2023-10-12
4155,24,5,2024-01-07
2027,16,0,2024-07-03
1538,15,4,2023-08-24
626,26,0,2023-10-30
1065,3,0,2024-05-22
387,4,3,2024-02-25
4207,2,0,2024-02-25
2840,23,3,2023-11-26
410,22,9,2024-07-09
606,15,7,2024-07-19
3971,10,5,2024-07-23
1848,20,0,2023-10-12
849,19,10,2023-09-29
2063,23,1,2024-05-27
4901,11,5,2023-11-16
897,16,0,2023-12-16
1438,5,9,2023-09-26
3177,24,0,2023-12-30
1805,18,2,2024-03-23
1340,1,1,2023-10-30
2370,5,0,2024-05-22
3078,6,1,2024-05-22
2626,22,7,2024-05-06
4843,29,4,2023-10-23
1576,30,0,2024-03-10
13,23,3,2024-02-10
1602,7,10,2023-12-18
2412,10,2,2024-06-06
152,10,3,2023-11-08
4249,16,3,2023-12-20
4753,30,1,2023-08-19
2220,15,0,2024-03-12
1362,1,8,2024-02-01
3093,25,3,2024-03-16
2862,3,4,2024-01-07
2566,7,6,2023-12-15
3672,16,0,2023-08-30
1489,13,2,2023-11-28
1714,6,9,2024-06-26
4897,24,1,2024-07-04
1911,9,0,2024-08-04
4080,16,1,2024-03-29
1397,6,9,2023-11-03
4647,5,0,2023-09-27
660,29,2,2024-06-08
4447,3,0,2023-11-10
4953,5,0,2023-11-15
3022,19,5,2023-11-03
1292,5,4,2023-09-06
959,3,1,2024-03-23
3363,7,0,2023-08-21
4845,11,1,2024-02-23
4765,13,0,2024-04-21
2002,15,5,2024-07-17
1263,21,2,2023-12-30
2431,22,6,2023-12-14
1474,2,2,2023-10-30
623,11,4,2024-02-16
4214,1,4,2023-10-03
4516,11,0,2024-04-02
1678,24,0,2024-06-20
4410,25,7,2023-09-27
358,9,4,2024-06-29
1839,23,7,2024-07-29
527,27,4,2024-01-20
1449,28,0,2023-11-27
1417,26,0,2024-04-30
2426,17,4,2024-04-02
923,23,1,2024-03-03
1259,28,2,2023-11-30
3418,18,3,2023-11-28
3289,10,8,2023-08-11
852,25,4,2024-07-12
4349,11,0,2024-06-13
4402,2,2,2023-09-11
2504,25,0,2023-08-25
8,2,6,2024-03-27
1456,19,9,2023-10-19
4079,15,4,2023-12-28
3936,8,7,2024-01-04
4267,11,6,2024-01-11
3177,21,2,2023-09-07
3272,24,1,2023-09-30
973,20,2,2023-08-17
1060,7,1,2023-11-27
1477,4,4,2024-05-09
3573,26,0,2024-01-05
616,7,0,2024-02-16
2504,23,0,2024-06-19
2330,6,4,2024-04-15
4358,7,6,2023-11-11
924,10,5,2024-03-27
4187,30,8,2024-07-03
917,3,2,2024-07-04
3658,5,7,2024-01-07
3329,19,4,2023-10-10
2275,19,5,2024-04-09
791,21,0,2024-07-25
1632,4,5,2024-07-06
164,2,0,2024-05-05
3539,14,2,2024-01-17
1378,23,0,2023-12-01
45,12,9,2023-10-30
1322,18,1,2023-10-03
4457,13,0,2023-08-29
790,1,1,2024-02-11
381,11,7,2023-09-30
2214,8,8,2024-03-14
1925,18,5,2023-10-14
2911,18,5,2023-10-29
3424,27,7,2023-10-17
1401,22,6,2024-06-09
512,2,2,2024-04-22
4375,23,2,2024-06-19
3747,25,2,2024-03-24
2000,28,0,2023-11-09
4554,29,0,2023-09-23
4110,20,8,2023-11-26
1670,7,7,2024-07-18
3339,29,5,2024-06-12
4143,11,4,2024-03-31
4443,30,7,2024-03-24
3298,6,2,2023-11-01
859,8,2,2024-03-20
2497,25,0,2024-03-22
610,7,0,2024-06-29
4144,26,0,2024-05-05
1849,23,4,2024-06-05
813,22,3,2024-05-25
4163,24,10,2024-01-07
2862,29,0,2023-09-05
4916,24,7,2023-08-21
4329,16,1,2024-03-28
163,13,10,2024-03-27
3951,16,2,2024-06-01
356,14,5,2024-03-15
3033,27,4,2023-10-08
52,21,8,2023-10-15
4410,17,0,2024-05-03
2183,8,6,2024-04-16
1044,15,4,2023-10-20
3357,4,2,2023-09-11
4122,23,0,2024-02-04
4862,14,4,2024-06-19
4369,21,0,2023-10-27
2449,12,4,2024-07-21
1460,24,5,2023-09-07
1235,23,2,2023-10-23
3020,23,10,2023-12-01
3271,18,2,2024-06-26
1400,20,8,2024-01-08
4709,27,0,2023-09-11
2652,15,0,2024-01-15
4156,19,3,2023-09-07
1332,11,1,2023-12-27
4935,9,5,2024-07-07
74,25,2,2023-10-11
2441,29,0,2024-06-13
4980,1,2,2024-07-15
3893,5,6,2024-03-26
3376,14,4,2024-01-06
2495,3,6,2024-06-16
4703,20,2,2023-12-21
177,18,0,2024-06-11
4877,15,1,2023-10-27
4080,9,3,2024-03-19
4678,10,2,2024-07-06
617,17,0,2024-04-01
4983,26,3,2024-05-17
2477,4,2,2024-06-30
1987,10,7,2024-07-01
4252,21,1,2024-03-08
3266,24,4,2023-08-08
4369,4,10,2023-09-20
2400,25,4,2024-04-10
230,9,1,2023-12-17
81,26,4,2023-09-22
4217,26,2,2023-11-29
82,11,10,2023-12-15
969,27,8,2023-08-05
258,6,2,2024-05-13
3758,2,2,2024-07-01
2375,18,4,2024-07-17
502,1,7,2024-05-16
1468,9,3,2023-12-25
2070,12,3,2023-09-25
1815,1,3,2023-08-17
4421,19,3,2024-07-31
338,11,3,2023-12-13
4431,18,0,2024-06-06
4875,24,2,2024-07-12
869,18,1,2023-10-22
1938,1,0,2024-07-16
3663,26,1,2023-08-24
105,2,0,2024-02-24
377,22,1,2024-02-11
3198,25,5,2024-08-03
835,19,8,2023-12-23
4887,12,4,2023-08-10
142,30,10,2024-06-24
2929,13,1,2024-06-14
4571,9,6,2023-11-22
1570,27,2,2023-08-23
4435,22,7,2024-03-30
2411,14,2,2023-11-28
425,17,5,2023-11-28
160,21,0,2024-07-02
3868,6,2,2024-03-01
287,1,0,2023-10-18
1672,14,1,2024-04-15
1007,2,0,2023-11-12
2422,10,9,2024-04-01
2065,5,4,2023-12-22
355,13,3,2023-10-02
2810,14,3,2023-11-28
3284,27,9,2023-10-03
1351,10,9,2023-08-23
3096,5,6,2024-02-25
1033,4,1,2023-10-30
2820,20,4,2024-02-11
3914,5,1,2024-04-13
3486,25,0,2023-12-11
1482,4,4,2024-04-13
2718,8,0,2023-08-27
2416,15,6,2024-05-24
2119,16,1,2023-10-23
3186,10,3,2023-09-16
2668,12,4,2024-06-27
4922,14,1,2024-06-13
790,28,7,2024-02-09
1899,18,0,2023-12-09
51,16,7,2023-10-08
1124,10,1,2024-06-25
2849,7,0,2023-09-01
4882,2,0,2024-05-08
2041,13,0,2023-12-12
1515,3,9,2024-06-16
557,30,5,2024-04-16
3870,8,9,2024-06-25
1173,21,10,2024-02-27
4053,6,2,2024-05-29
2218,18,4,2024-03-09
2019,20,1,2024-04-18
2630,23,5,2024-03-06
4540,11,0,2024-05-16
4788,22,1,2024-04-10
2837,5,5,2024-07-17
2562,4,2,2023-08-07
4116,11,3,2024-07-17
689,15,0,2024-06-02
2753,30,0,2024-07-18
387,12,1,2024-08-03
760,9,2,2024-06-29
2518,9,2,2024-06-10
3000,21,0,2024-04-06
1157,10,2,2024-01-30
4333,24,5,2024-03-30
2424,4,7,2023-09-01
3779,4,1,2024-08-04
2460,23,6,2024-06-07
4679,15,0,2023-09-04
2371,28,8,2024-05-19
1665,2,1,2024-02-21
4001,17,3,2024-03-08
1821,7,0,2024-07-11
1784,14,0,2023-12-09
563,23,0,2023-12-23
4270,30,4,2024-06-29
1493,14,9,2023-11-28
4203,16,3,2024-03-07
1435,26,9,2023-09-28
560,12,6,2024-05-23
3932,18,2,2024-06-21
79,10,7,2024-01-14
3562,6,1,2023-12-18
513,11,0,2024-01-05
3647,23,1,2023-12-31
2677,27,4,2024-07-01
2683,24,0,2023-12-24
4194,2,0,2024-02-28
4625,28,0,2023-11-14
3481,22,3,2024-07-31
2397,9,8,2024-02-11
4068,3,5,2023-08-28
3627,24,1,2024-05-17
1332,19,6,2023-12-21
4824,30,0,2024-02-12
2543,8,0,2023-12-29
3245,5,4,2024-06-02
4716,9,8,2024-06-25
3523,9,10,2024-07-03
2798,2,4,2024-06-18
4712,19,6,2023-08-31
303,4,0,2023-08-20
4879,18,1,2023-10-10
1867,19,0,2024-06-01
1917,27,9,2023-11-25
2789,6,0,2024-03-05
697,18,4,2024-07-09
4277,10,8,2024-02-23
1395,21,1,2024-03-11
2269,24,9,2024-01-27
4233,10,4,2024-04-20
3751,19,1,2024-03-03
1399,18,9,2023-12-20
3039,27,6,2024-03-07
4017,11,4,2024-03-23
4678,12,5,2024-04-29
1036,17,5,2024-07-18
4853,2,0,2023-10-05
586,15,5,2024-07-10
3791,24,3,2023-09-28
607,27,0,2024-06-09
4333,18,0,2024-01-05
4985,30,8,2023-09-12
672,15,0,2023-10-14
2689,25,4,2024-07-24
2452,30,10,2023-12-03
2693,26,0,2024-01-14
2179,26,9,2023-11-12
3486,16,5,2024-04-12
1310,17,10,2024-06-20
4288,4,0,2024-02-21
1783,21,0,2024-04-09
4327,17,1,2023-09-20
3559,28,3,2024-01-18
672,19,0,2024-02-27
4028,27,3,2024-03-05
2254,30,1,2023-08-22
94,29,7,2023-11-04
4693,21,7,2024-05-19
864,15,2,2024-04-06
385,12,1,2024-02-11
4590,28,2,2024-04-14
3465,19,0,2023-11-19
3062,3,4,2024-05-29
2565,24,3,2024-03-10
170,25,5,2024-02-20
98,25,7,2024-07-26
2609,7,0,2023-11-18
3233,1,5,2023-09-12
996,4,4,2023-09-08
4789,3,0,2024-04-08
4364,5,7,2024-04-21
3886,10,0,2024-02-23
2582,12,0,2024-02-18
3495,2,4,2023-12-12
4351,11,7,2024-05-05
828,28,3,2024-03-10
1008,2,0,2023-08-06
500,29,0,2024-05-24
1739,23,2,2023-12-21
3281,3,9,2024-07-10
4350,16,0,2024-03-18
3294,5,9,2024-06-19
647,7,5,2024-02-10
4176,24,4,2024-01-19
4656,8,0,2024-01-03
1983,26,4,2024-01-25
59,21,1,2024-04-22
2636,28,10,2024-04-20
3525,3,1,2024-04-07
2392,15,4,2023-12-09
705,21,1,2023-08-05
3161,27,1,2023-09-12
4791,16,3,2024-01-13
2926,12,6,2024-06-29
948,4,1,2023-09-16
2017,13,10,2024-03-11
349,22,0,2024-06-12
4163,30,0,2024-01-12
3983,6,2,2023-08-25
1298,18,4,2024-05-27
3099,14,0,2024-07-25
2043,10,0,2024-04-11
674,13,6,2024-04-03
2101,3,7,2024-01-25
3377,3,0,2023-12-27
859,20,10,2023-12-25
3784,11,4,2023-08-21
1678,11,3,2024-03-10
2455,14,7,2024-02-18
352,12,10,2024-05-18
307,7,5,2024-07-27
4480,1,0,2024-04-19
1754,1,0,2023-12-13
3987,14,0,2023-08-14
1101,30,8,2024-02-13
840,9,4,2024-04-21
2217,15,0,2023-11-22
4744,8,4,2023-11-18
1732,30,0,2024-02-12
3374,19,6,2023-12-07
3428,16,2,2024-01-15
4972,21,10,2024-03-17
30,19,0,2024-04-19
4143,18,6,2023-12-22
2280,20,3,2024-08-03
2209,28,1,2023-10-14
2873,4,7,2024-02-08
1943,27,7,2024-06-16
2693,18,5,2023-08-31
3717,5,7,2024-05-10
1010,15,0,2024-08-02
1611,1,4,2023-09-19
3481,26,3,2024-02-19
4588,4,6,2023-09-04
3144,27,7,2023-12-13
2220,25,5,2024-02-26
288,7,1,2023-12-25
1707,19,3,2024-05-04
4283,29,0,2024-03-20
4043,7,3,2023-12-26
3631,21,5,2023-09-28
4195,8,5,2024-05-31
1757,13,0,2024-02-10
3891,15,0,2024-07-21
2057,4,0,2024-01-11
70,20,0,2023-08-10
924,12,0,2024-02-02
3434,1,0,2023-12-22
1047,13,0,2024-01-23
2167,26,0,2024-01-07
324,30,0,2024-01-15
1396,28,8,2024-07-30
697,20,0,2023-11-29
2918,15,2,2024-04-20
60,9,5,2024-02-16
544,1,0,2023-12-25
4053,23,4,2024-02-29
2230,4,3,2023-11-18
1308,9,1,2024-05-04
1968,27,3,2024-06-03
617,2,4,2024-05-28
2536,4,10,2024-07-29
1184,5,5,2024-06-09
4457,15,0,2023-12-13
4572,16,0,2024-07-06
3194,9,8,2023-12-19
4705,14,0,2024-05-08
1454,12,0,2023-10-07
4064,27,1,2024-01-04
1181,6,1,2023-08-29
2172,27,8,2023-12-20
1753,6,2,2024-06-13
884,18,7,2024-05-12
423,2,0,2024-05-27
3135,17,2,2023-11-04
3126,7,0,2024-01-08
99,5,3,2023-12-11
3676,23,4,2024-03-03
460,30,9,2024-03-20
288,2,4,2024-05-10
1937,13,8,2024-05-15
3393,24,0,2023-08-05
4680,12,0,2024-05-17
4455,19,0,2024-01-29
2777,15,2,2024-03-23
2565,1,0,2024-04-28
4055,8,0,2024-07-05
4613,1,0,2024-03-12
3780,7,4,2024-06-23
733,7,5,2024-01-03
284,21,2,2024-05-12
1313,3,0,2023-08-17
4429,27,1,2024-04-19
338,24,3,2024-04-12
620,21,2,2024-02-05
1168,6,0,2024-03-10
2080,11,8,2024-04-19
2289,24,2,2023-09-02
917,16,0,2024-07-23
1370,18,6,2024-01-12
561,16,7,2024-06-13
3726,9,1,2024-04-18
3335,2,10,2024-03-07
1186,27,0,2024-06-25
2471,10,7,2024-01-02
1080,6,1,2023-10-28
761,21,2,2024-02-26
1181,11,0,2024-02-18
4815,9,5,2024-02-25
1163,24,9,2024-05-24
140,19,0,2024-05-18
3655,26,7,2024-04-28
1477,13,4,2024-06-29
1706,22,0,2023-08-15
2893,11,0,2023-10-17
1070,16,2,2024-01-16
3815,20,7,2024-02-19
4565,1,10,2024-04-17
1098,9,9,2024-05-18
2942,19,3,2024-05-27
918,13,0,2023-12-28
867,4,4,2024-02-11
905,11,10,2024-06-17
4400,19,9,2023-08-19
745,6,6,2023-12-02
4428,29,2,2023-10-28
2340,24,4,2023-10-16
4390,29,2,2024-06-13
3924,18,2,2024-01-31
4209,22,2,2023-12-28
1753,15,1,2024-02-24
482,30,0,2023-08-22
4306,9,1,2024-02-24
2121,1,3,2023-09-17
1891,15,7,2023-08-14
4567,3,10,2023-08-08
898,19,0,2023-12-17
2389,20,7,2023-09-30
1071,3,2,2024-02-22
358,2,2,2024-03-05
4335,30,7,2023-11-22
1652,13,4,2024-07-23
1048,27,0,2023-12-12
2671,8,0,2023-08-20
2204,17,2,2023-11-24
3679,2,3,2024-07-30
961,8,4,2023-08-26
4324,14,1,2024-05-23
3537,6,0,2024-02-07
80,6,0,2024-02-22
1364,7,5,2024-07-04
4028,22,9,2023-12-19
1216,28,0,2024-05-26
2694,1,8,2024-05-17
1785,1,0,2024-06-24
149,18,3,2024-07-01
2038,26,1,2023-10-05
3304,15,0,2023-09-13
912,20,0,2024-03-05
4229,17,4,2024-06-03
4655,3,0,2024-08-01
976,13,6,2023-12-23
190,19,10,2023-08-21
757,13,3,2024-03-16
1248,27,0,2024-02-13
4051,7,9,2024-07-09
4768,22,3,2024-01-24
4729,24,2,2023-12-27
367,13,0,2024-03-05
2760,10,3,2024-03-29
674,28,8,2024-03-26
4487,14,3,2024-07-17
2114,13,0,2023-10-25
416,1,9,2024-07-06
4830,17,0,2024-04-11
1796,8,2,2024-01-04
793,24,7,2024-03-16
3651,3,9,2024-05-31
4288,29,0,2023-12-25
758,22,4,2023-10-16
3026,23,0,2024-01-22
4107,5,5,2023-08-28
2532,5,10,2023-11-28
1550,21,0,2023-09-19
99,3,1,2024-07-01
2654,25,0,2023-08-25
3383,14,0,2024-07-24
2635,13,9,2024-04-04
4975,20,0,2023-08-27
4768,29,5,2023-10-31
3314,14,2,2023-12-25
440,4,0,2023-08-30
1131,9,8,2024-01-16
132,26,0,2023-10-29
4417,30,0,2023-10-03
4154,5,9,2024-01-24
1823,17,2,2024-07-30
2368,1,0,2024-06-04
3204,5,0,2024-06-11
2840,17,8,2023-08-06
4071,9,5,2024-04-30
1114,15,0,2024-04-07
2937,21,10,2024-05-18
3372,10,0,2023-08-27
1821,12,10,2023-10-25
143,1,1,2024-01-06
1307,20,0,2023-10-23
4588,5,3,2023-09-14
2720,4,3,2024-07-18
3430,3,4,2023-10-27
2682,12,3,2024-06-26
2350,22,8,2024-07-03
3257,4,8,2024-04-29
499,15,4,2023-10-03
1795,2,0,2024-02-08
3346,1,0,2024-01-19
1047,18,0,2024-01-02
1175,15,0,2023-11-18
736,24,8,2024-06-13
1440,7,10,2024-06-09
1042,19,5,2024-05-27
3500,3,1,2024-01-12
1025,1,4,2024-05-02
2167,18,5,2023-08-09
95,16,5,2023-11-26
3566,25,1,2024-04-25
2119,10,2,2023-10-13
377,29,1,2024-05-19
1456,29,0,2023-12-22
3603,14,10,2023-10-19
2457,13,7,2024-07-14
207,4,4,2024-01-20
2728,8,0,2023-10-17
4090,24,5,2024-04-05
1680,24,1,2023-10-12
1220,9,0,2023-08-28
4574,14,0,2024-05-05
3358,18,0,2023-11-20
2604,25,0,2023-10-24
1034,27,2,2023-11-22
1502,13,2,2023-11-09
32,17,2,2023-11-30
3427,23,6,2023-09-13
2877,30,5,2023-09-27
3279,5,7,2024-06-23
2262,3,10,2024-01-16
3621,29,10,2024-06-22
4472,15,3,2024-01-11
2209,26,4,2023-11-29
3878,15,7,2024-03-03
1308,19,0,2024-03-31
1702,12,0,2024-07-20
3382,30,0,2024-07-01
4181,10,3,2024-04-07
3960,10,10,2023-10-31
1029,8,1,2023-09-10
2228,26,0,2024-02-16
440,10,5,2024-06-13
3100,18,0,2023-08-13
905,5,0,2024-04-21
3546,27,0,2024-02-09
2919,6,1,2024-05-26
4710,26,0,2024-02-21
3275,22,5,2023-12-17
2319,21,7,2024-01-01
1014,4,5,2023-10-16
4040,25,0,2024-03-30
4510,3,3,2023-12-22
3798,8,0,2024-06-05
3515,8,1,2023-09-28
2764,22,4,2024-07-30
2356,17,8,2024-06-14
4119,26,0,2023-08-07
531,17,3,2024-02-14
4807,26,2,2024-06-13
191,13,2,2024-07-15
150,12,7,2023-11-16
826,2,0,2023-12-10
1319,27,8,2024-03-10
2548,7,4,2024-02-07
2286,3,6,2024-07-10
1528,8,8,2024-06-30
971,23,2,2023-08-17
2548,20,5,2024-04-12
4325,14,0,2024-07-18
1964,16,0,2023-09-30
4139,13,0,2023-10-25
479,7,0,2023-09-27
1652,4,4,2024-04-22
4512,27,4,2024-05-14
4952,30,10,2024-03-03
657,3,6,2024-06-20
266,1,0,2023-11-01
3890,27,0,2023-10-29
877,25,5,2024-05-26
811,19,7,2024-06-03
4545,14,0,2024-05-20
860,29,4,2024-03-23
3179,29,9,2024-02-20
2907,22,5,2024-04-06
418,24,3,2024-02-07
808,19,4,2023-12-06
3823,27,3,2024-07-07
2988,30,0,2024-05-10
987,3,0,2024-03-31
3585,11,0,2024-04-04
4343,6,5,2024-01-01
186,16,9,2024-02-24
4573,17,5,2023-08-12
3635,17,5,2024-02-17
3864,5,6,2024-04-28
4905,25,0,2023-11-27
1858,15,0,2024-01-08
3404,4,2,2024-05-09
4527,23,3,2023-10-13
3851,27,0,2024-04-23
1662,22,4,2024-04-19
4818,21,10,2024-02-19
2059,16,3,2024-05-15
989,18,0,2024-04-01
2776,27,0,2024-01-08
3666,29,2,2024-05-15
869,29,8,2024-06-28
1492,26,1,2023-11-26
123,22,5,2023-09-14
4498,12,6,2024-07-10
3814,28,10,2024-06-03
258,1,0,2024-01-18
2105,22,8,2024-03-28
1591,26,6,2023-10-15
1748,29,2,2023-12-11
1526,6,10,2024-01-29
996,13,4,2024-04-23
3150,20,5,2024-01-26
3133,18,1,2023-08-25
3735,9,2,2023-10-12
3868,1,2,2024-01-02
3625,22,5,2024-01-26
544,14,4,2024-03-19
970,8,4,2023-10-06
2988,23,5,2024-07-13
1164,3,1,2024-05-25
946,27,2,2023-09-13
2443,27,0,2024-06-25
596,1,3,2023-11-27
80,7,0,2024-06-30
381,27,4,2024-03-17
2114,29,6,2024-02-26
2311,28,0,2024-05-04
922,20,3,2024-04-13
1820,19,0,2024-01-06
4439,28,1,2024-06-13
541,8,0,2023-09-24
2470,30,0,2023-12-03
3483,20,6,2023-08-23
612,27,0,2023-10-03
1873,2,0,2024-04-28
3018,30,0,2023-12-05
3902,24,1,2024-07-09
4507,13,5,2024-01-23
3312,23,6,2023-09-21
1894,22,8,2024-04-15
2704,8,1,2024-03-07
744,3,0,2024-01-19
140,27,0,2023-12-06
2263,30,3,2023-11-15
2127,25,10,2023-12-22
4019,17,7,2024-02-09
4795,26,2,2023-12-23
1002,11,2,2024-02-13
4521,11,1,2023-12-26
911,5,3,2023-12-25
626,29,2,2024-03-13
4037,11,6,2023-12-22
1098,8,4,2023-10-22
4611,16,3,2023-08-25
2797,12,0,2024-07-21
3084,28,9,2023-11-16
374,25,5,2023-08-22
4904,15,0,2023-12-23
3141,1,0,2023-12-10
2398,14,5,2024-05-12
3030,25,0,2023-08-27
3790,15,0,2024-03-04
2934,3,2,2023-11-01
224,15,0,2024-06-22
4097,15,0,2024-03-26
3148,26,0,2023-08-16
3938,18,10,2024-06-04
1884,16,4,2023-09-18
502,7,0,2023-11-08
2606,10,10,2024-02-07
4343,1,6,2024-07-15
3624,10,7,2023-08-08
2472,17,7,2024-03-20
3761,22,0,2023-08-08
409,6,3,2024-06-10
2723,9,6,2024-04-18
3232,22,3,2023-08-11
1209,29,2,2024-04-26
